!  ANO-RCC  EMSL  Basis Set Exchange Library   11/15/09 1:09 PM
! Elements                             References
! --------                             ----------
! H He: P.-O. Widmark, P.-Å. Malmqvist, and B. O. Roos, Density-matrix averaged atomic natural orbital (ANO) basis-sets for correlated molecular wave-functions 1: 1st row atoms., Theor. Chim. Acta 77, 291-306 (1990).
! Li Be Na Mg K Ca Rb Sr Cs Ba Fr Ra: O. Roos, V. Veryazov and P.-O. Widmark, Relativistic atomic natural orbital type basis sets for the alkaline and alkaline-earth atoms applied to the ground-state potentials for the corresponding dimers., Theor. Chem. Acc. 111, 345-351 (2003).
! B C N O F Ne Al Si P S Cl Ar Ga Ge As Se Br Kr In Sn Sb Te I Xe Tl Pb Bi Po At Rn: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, Main group atoms and dimers studied with a new relativistic ANO basis set, J. Phys. Chem. A 108, 2851 (2005).
! Sc Ti V Cr Mn Fe Co Ni Cu Zn Y Zr Nb Mo Tc Ru Rh Pd Ag Cd Hf Ta W Re Os Ir Pt Au Hg: . O. Roos, R. Lindh and P.-Å. Malmqvist, V. Veryazov and P.-O. Widmark, New relativistic ANO basis sets for transition metal atoms, J. Phys. Chem. A 109, 6575-6579 (2005).
! Ac Th Pa U Np Pu Am Cm: B.O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New relativistic ANO basis sets for actinide atoms, Chem. Phys. Letters 409, 295-299 (2005).
! La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu: B. O. Roos, R. Lindh, P.-Å. Malmqvist, V. Veryazov, and P.-O. Widmark, New Relativistic atomic natural orbital basis sets for lanthanide atoms with applications to the Ce diatomic abd LuF3, Phys. Chem. A 112, 11431-11435 (2008).
! 



RADON
S   25
 13     74.9238811000           0.16196071       
 14     37.7853013000           0.23423966       
 15     18.9446130000          -0.17123826       
 16      9.3838088100          -0.61269855       
 17      4.5945101400           0.02266267       
 18      2.0994701000           0.79901207       
 19      0.9422822400           0.34348155       
 20      0.3179596800           0.01463706       
 21      0.1064588500           0.00004854       
 22      0.0425835400           0.00012004       
P   22
  1 21090913.8999999985         0.00000154       
  2 4082174.2100000000          0.00000379       
  3 973721.9970000000           0.00001087       
  4 265310.9810000000           0.00002917       
  5  80164.2905000000           0.00008069       
  6  26485.3572000000           0.00022867       
  7   9521.0695700000           0.00066115       
  8   3709.8692400000           0.00190593       
  9   1553.3422500000           0.00516890       
 10    689.8806210000           0.01189244       
 11    320.9769110000           0.01871914       
 12    154.6719870000           0.00496966       
 13     74.9238811000          -0.05421761       
 14     37.7853013000          -0.08027872       
 15     18.9446130000           0.06488762       
 16      9.3838088100           0.22080612       
 17      4.5945101400          -0.01859488       
 18      2.0994701000          -0.43611467       
 19      0.9422822400          -0.08852456       
 20      0.3179596800           0.69542119       
 21      0.1064588500           0.46385123       
 22      0.0425835400           0.00451007       
P   22
  1 21090913.8999999985        -0.00000251       
  2 4082174.2100000000         -0.00000617       
  3 973721.9970000000          -0.00001774       
  4 265310.9810000000          -0.00004749       
  5  80164.2905000000          -0.00013197       
  6  26485.3572000000          -0.00037139       
  7   9521.0695700000          -0.00108459       
  8   3709.8692400000          -0.00308607       
  9   1553.3422500000          -0.00851184       
 10    689.8806210000          -0.01916345       
 11    320.9769110000          -0.03127392       
 12    154.6719870000          -0.00612346       
 13     74.9238811000           0.08467641       
 14     37.7853013000           0.14393304       
 15     18.9446130000          -0.13645741       
 16      9.3838088100          -0.33956692       
 17      4.5945101400          -0.01386199       
 18      2.0994701000           1.13509410       
 19      0.9422822400          -0.81229105       
